trajectory_mode,effect_size,cell_id,phase,checkpoint,scope,measurement_space,statistic,n_replicates,n_available,n_unavailable,mean,sd,median
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,methylation,standardized_feature,delta,100,100,0,0.47101075067481224,0.4411778735606877,0.38732210195451344
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,methylation,standardized_feature,path_length[A],100,100,0,58.00628989592382,1.641426334132705,58.25368683302361
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,methylation,standardized_feature,path_length[B],100,100,0,57.9212781049691,1.5108521505366797,58.16568671323513
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,methylation,standardized_feature,shape,100,100,0,0.0178909789499227,0.008940550179722857,0.016258684693692002
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,proteomics,standardized_feature,angle,100,100,0,15.27200234288986,25.20942063853343,9.788405146080713
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,proteomics,standardized_feature,delta,100,100,0,0.23595130992127608,0.17256218235058252,0.20269050230649555
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,proteomics,standardized_feature,path_length[A],100,100,0,48.147712889123106,1.627185190652044,48.05334414118977
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,proteomics,standardized_feature,path_length[B],100,100,0,48.16134694957805,1.6184357949601398,48.16969765390304
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,observed_standardized,proteomics,standardized_feature,shape,100,100,0,0.011397446678199842,0.0035295694923197394,0.011296469291434581
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,pls_latent,joint,pls_latent,angle,100,100,0,17.515690905423575,38.82354520121158,5.103377940479568
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,pls_latent,joint,pls_latent,delta,100,100,0,0.39102034030133626,0.3234498824079206,0.3295692097789953
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,pls_latent,joint,pls_latent,path_length[A],100,100,0,81.57816915686873,6.807712160174902,83.9188878728884
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,pls_latent,joint,pls_latent,path_length[B],100,100,0,81.5174672055006,6.714271669428428,83.61864236901758
none,,type_i_baseline-5c0f9fe8a4ad,type_i_baseline,pls_latent,joint,pls_latent,shape,100,100,0,0.010131068864804754,0.0046374643746036415,0.009337487297393894
orientation,0.25,power_primary-b5971fca9258,power_primary,population_native,expression,native_omic_units,angle,100,100,0,59.63188264761239,23.931720301860246,50.63322369369187
orientation,0.25,power_primary-b5971fca9258,power_primary,population_native,expression,native_omic_units,delta,100,100,0,1.0609830941067309,0.8252842195310379,0.8359019792454383
orientation,0.25,power_primary-b5971fca9258,power_primary,population_native,expression,native_omic_units,path_length[A],100,100,0,44.50296170753463,1.4629041188467085,44.47395051852209
orientation,0.25,power_primary-b5971fca9258,power_primary,population_native,expression,native_omic_units,path_length[B],100,100,0,44.29512374388362,1.6091226577878155,44.34904799658688
orientation,0.25,power_primary-b5971fca9258,power_primary,population_native,expression,native_omic_units,shape,100,100,0,0.05868743286109078,0.015855483232081302,0.0584630721426698
orientation,0.25,power_primary-b5971fca9258,power_primary,population_native,methylation,native_omic_units,angle,100,100,0,41.25385273452171,2.346114167953915,41.53937730878283
