trajectory_mode,effect_size,cell_id,phase,statistic,stratum,n_strata,eigengap_low,eigengap_high,mean_eigengap,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,status
orientation,0.5,power_design-109c147a9915,power_design,delta,1,3,0.15678474316526309,0.20707306208705079,0.18387662614616385,33,33,22,0.6666666666666666,0.08206099398622183,ok
orientation,0.5,power_design-109c147a9915,power_design,delta,2,3,0.20723166001557675,0.3707904299078658,0.2555835976165043,33,33,25,0.7575757575757576,0.07460090362383802,ok
orientation,0.5,power_design-109c147a9915,power_design,shape,0,3,0.026678793400435163,0.1540006916281242,0.11034858759168795,34,34,31,0.9117647058823529,0.04864330767996384,ok
orientation,0.5,power_design-109c147a9915,power_design,shape,1,3,0.15678474316526309,0.20707306208705079,0.18387662614616385,33,33,29,0.8787878787878788,0.05681435554915709,ok
orientation,0.5,power_design-109c147a9915,power_design,shape,2,3,0.20723166001557675,0.3707904299078658,0.2555835976165043,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,0.5,power_design-13e5537dcaa2,power_design,angle,0,3,0.009293433942782592,0.07700047690320849,0.04493351813418719,34,34,5,0.14705882352941177,0.06073871862125245,ok
orientation,0.5,power_design-13e5537dcaa2,power_design,angle,1,3,0.0808484959540714,0.1508925784281946,0.11892046372431297,33,33,9,0.2727272727272727,0.07752753322022198,ok
orientation,0.5,power_design-13e5537dcaa2,power_design,angle,2,3,0.1548231855676651,0.28301299991975193,0.20308696851826052,33,33,5,0.15151515151515152,0.062415594005386335,ok
orientation,0.5,power_design-13e5537dcaa2,power_design,delta,0,3,0.009293433942782592,0.07700047690320849,0.04493351813418719,34,34,13,0.38235294117647056,0.08334181380283408,ok
orientation,0.5,power_design-13e5537dcaa2,power_design,delta,1,3,0.0808484959540714,0.1508925784281946,0.11892046372431297,33,33,9,0.2727272727272727,0.07752753322022198,ok
orientation,0.5,power_design-13e5537dcaa2,power_design,delta,2,3,0.1548231855676651,0.28301299991975193,0.20308696851826052,33,33,11,0.3333333333333333,0.08206099398622183,ok
orientation,0.5,power_design-13e5537dcaa2,power_design,shape,0,3,0.009293433942782592,0.07700047690320849,0.04493351813418719,34,34,25,0.7352941176470589,0.07566114050404801,ok
orientation,0.5,power_design-13e5537dcaa2,power_design,shape,1,3,0.0808484959540714,0.1508925784281946,0.11892046372431297,33,33,24,0.7272727272727273,0.07752753322022198,ok
orientation,0.5,power_design-13e5537dcaa2,power_design,shape,2,3,0.1548231855676651,0.28301299991975193,0.20308696851826052,33,33,8,0.24242424242424243,0.07460090362383802,ok
orientation,0.5,power_design-2a8b28b589d4,power_design,angle,0,3,0.0015433583818352803,0.12066432411641298,0.07207286326552327,34,34,11,0.3235294117647059,0.08023094083513456,ok
orientation,0.5,power_design-2a8b28b589d4,power_design,angle,1,3,0.12165447182434186,0.20455775187619174,0.16278330107026084,33,33,18,0.5454545454545454,0.08667841720414475,ok
orientation,0.5,power_design-2a8b28b589d4,power_design,angle,2,3,0.20530088568345345,0.6027151261636844,0.30742097553450654,33,33,19,0.5757575757575758,0.08603395906609154,ok
orientation,0.5,power_design-2a8b28b589d4,power_design,delta,0,3,0.0015433583818352803,0.12066432411641298,0.07207286326552327,34,34,18,0.5294117647058824,0.0856008088363528,ok
orientation,0.5,power_design-2a8b28b589d4,power_design,delta,1,3,0.12165447182434186,0.20455775187619174,0.16278330107026084,33,33,16,0.48484848484848486,0.08699885606851798,ok
orientation,0.5,power_design-2a8b28b589d4,power_design,delta,2,3,0.20530088568345345,0.6027151261636844,0.30742097553450654,33,33,17,0.5151515151515151,0.08699885606851798,ok
orientation,0.5,power_design-2a8b28b589d4,power_design,shape,0,3,0.0015433583818352803,0.12066432411641298,0.07207286326552327,34,34,25,0.7352941176470589,0.07566114050404801,ok
orientation,0.5,power_design-2a8b28b589d4,power_design,shape,1,3,0.12165447182434186,0.20455775187619174,0.16278330107026084,33,33,19,0.5757575757575758,0.08603395906609154,ok
orientation,0.5,power_design-2a8b28b589d4,power_design,shape,2,3,0.20530088568345345,0.6027151261636844,0.30742097553450654,33,33,22,0.6666666666666666,0.08206099398622183,ok
orientation,0.5,power_design-4f59277368a0,power_design,angle,0,3,0.020530094176062108,0.1614186899144835,0.11435499546575424,34,34,4,0.11764705882352941,0.05525508450751319,ok
orientation,0.5,power_design-4f59277368a0,power_design,angle,1,3,0.16161956386137033,0.26416709691621565,0.21370694941471302,33,33,7,0.21212121212121213,0.07116472642790657,ok
orientation,0.5,power_design-4f59277368a0,power_design,angle,2,3,0.2884629024788481,0.6535465594039866,0.45632653999942574,33,33,16,0.48484848484848486,0.08699885606851798,ok
orientation,0.5,power_design-4f59277368a0,power_design,delta,0,3,0.020530094176062108,0.1614186899144835,0.11435499546575424,34,34,6,0.17647058823529413,0.06537869767367192,ok
orientation,0.5,power_design-4f59277368a0,power_design,delta,1,3,0.16161956386137033,0.26416709691621565,0.21370694941471302,33,33,6,0.18181818181818182,0.06714081326145421,ok
orientation,0.5,power_design-4f59277368a0,power_design,delta,2,3,0.2884629024788481,0.6535465594039866,0.45632653999942574,33,33,9,0.2727272727272727,0.07752753322022198,ok
orientation,0.5,power_design-4f59277368a0,power_design,shape,0,3,0.020530094176062108,0.1614186899144835,0.11435499546575424,34,34,14,0.4117647058823529,0.08440353576228697,ok
orientation,0.5,power_design-4f59277368a0,power_design,shape,1,3,0.16161956386137033,0.26416709691621565,0.21370694941471302,33,33,11,0.3333333333333333,0.08206099398622183,ok
orientation,0.5,power_design-4f59277368a0,power_design,shape,2,3,0.2884629024788481,0.6535465594039866,0.45632653999942574,33,33,7,0.21212121212121213,0.07116472642790657,ok
orientation,0.5,power_design-623e54066414,power_design,angle,0,3,0.004181507705268039,0.04079538966831864,0.028954136421799913,34,34,25,0.7352941176470589,0.07566114050404801,ok
orientation,0.5,power_design-623e54066414,power_design,angle,1,3,0.04103431169427152,0.06676099580275224,0.054356400535377054,33,33,27,0.8181818181818182,0.06714081326145421,ok
orientation,0.5,power_design-623e54066414,power_design,angle,2,3,0.06780565373895675,0.14825457277107684,0.0926672279599153,33,33,29,0.8787878787878788,0.05681435554915709,ok
orientation,0.5,power_design-623e54066414,power_design,delta,0,3,0.004181507705268039,0.04079538966831864,0.028954136421799913,34,34,27,0.7941176470588235,0.06934458070529786,ok
orientation,0.5,power_design-623e54066414,power_design,delta,1,3,0.04103431169427152,0.06676099580275224,0.054356400535377054,33,33,28,0.8484848484848485,0.06241559400538633,ok
orientation,0.5,power_design-623e54066414,power_design,delta,2,3,0.06780565373895675,0.14825457277107684,0.0926672279599153,33,33,26,0.7878787878787878,0.07116472642790657,ok
orientation,0.5,power_design-623e54066414,power_design,shape,0,3,0.004181507705268039,0.04079538966831864,0.028954136421799913,34,34,34,1.0,0.0,ok
orientation,0.5,power_design-623e54066414,power_design,shape,1,3,0.04103431169427152,0.06676099580275224,0.054356400535377054,33,33,33,1.0,0.0,ok
orientation,0.5,power_design-623e54066414,power_design,shape,2,3,0.06780565373895675,0.14825457277107684,0.0926672279599153,33,33,33,1.0,0.0,ok
orientation,0.5,power_design-75ac5ccd76f5,power_design,angle,0,3,0.008117193992626615,0.0392576111738816,0.02811529503886139,34,34,29,0.8529411764705882,0.060738718621252456,ok
orientation,0.5,power_design-75ac5ccd76f5,power_design,angle,1,3,0.040214273502789055,0.0664784323975679,0.053426644133873116,33,33,29,0.8787878787878788,0.05681435554915709,ok
orientation,0.5,power_design-75ac5ccd76f5,power_design,angle,2,3,0.0668365065947969,0.15295387227400736,0.09150220749815625,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,0.5,power_design-75ac5ccd76f5,power_design,delta,0,3,0.008117193992626615,0.0392576111738816,0.02811529503886139,34,34,29,0.8529411764705882,0.060738718621252456,ok
orientation,0.5,power_design-75ac5ccd76f5,power_design,delta,1,3,0.040214273502789055,0.0664784323975679,0.053426644133873116,33,33,27,0.8181818181818182,0.06714081326145421,ok
orientation,0.5,power_design-75ac5ccd76f5,power_design,delta,2,3,0.0668365065947969,0.15295387227400736,0.09150220749815625,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,0.5,power_design-75ac5ccd76f5,power_design,shape,0,3,0.008117193992626615,0.0392576111738816,0.02811529503886139,34,34,34,1.0,0.0,ok
orientation,0.5,power_design-75ac5ccd76f5,power_design,shape,1,3,0.040214273502789055,0.0664784323975679,0.053426644133873116,33,33,33,1.0,0.0,ok
orientation,0.5,power_design-75ac5ccd76f5,power_design,shape,2,3,0.0668365065947969,0.15295387227400736,0.09150220749815625,33,33,33,1.0,0.0,ok
orientation,0.5,power_design-bfbf2c888a8e,power_design,angle,0,3,0.002944063201551994,0.11305734257744676,0.06280022889874459,34,34,11,0.3235294117647059,0.08023094083513456,ok
orientation,0.5,power_design-bfbf2c888a8e,power_design,angle,1,3,0.11406119656274549,0.17887031259480685,0.14738231022713566,33,33,12,0.36363636363636365,0.08373930663124332,ok
orientation,0.5,power_design-bfbf2c888a8e,power_design,angle,2,3,0.1808891194089965,0.294156573386107,0.2239067172778309,33,33,16,0.48484848484848486,0.08699885606851798,ok
orientation,0.5,power_design-bfbf2c888a8e,power_design,delta,0,3,0.002944063201551994,0.11305734257744676,0.06280022889874459,34,34,19,0.5588235294117647,0.08515380416833712,ok
orientation,0.5,power_design-bfbf2c888a8e,power_design,delta,1,3,0.11406119656274549,0.17887031259480685,0.14738231022713566,33,33,16,0.48484848484848486,0.08699885606851798,ok
orientation,0.5,power_design-bfbf2c888a8e,power_design,delta,2,3,0.1808891194089965,0.294156573386107,0.2239067172778309,33,33,17,0.5151515151515151,0.08699885606851798,ok
orientation,0.5,power_design-bfbf2c888a8e,power_design,shape,0,3,0.002944063201551994,0.11305734257744676,0.06280022889874459,34,34,29,0.8529411764705882,0.060738718621252456,ok
orientation,0.5,power_design-bfbf2c888a8e,power_design,shape,1,3,0.11406119656274549,0.17887031259480685,0.14738231022713566,33,33,26,0.7878787878787878,0.07116472642790657,ok
orientation,0.5,power_design-bfbf2c888a8e,power_design,shape,2,3,0.1808891194089965,0.294156573386107,0.2239067172778309,33,33,28,0.8484848484848485,0.06241559400538633,ok
orientation,0.5,power_primary-618b6dd2e026,power_primary,angle,0,3,0.0021364419652150635,0.038519128515469514,0.02745956916448175,34,34,19,0.5588235294117647,0.08515380416833712,ok
orientation,0.5,power_primary-618b6dd2e026,power_primary,angle,1,3,0.039018520478677154,0.06736830725658877,0.052434804237790185,33,33,20,0.6060606060606061,0.08505811700208933,ok
orientation,0.5,power_primary-618b6dd2e026,power_primary,angle,2,3,0.0673755384655243,0.13471354036833044,0.0913341735686952,33,33,24,0.7272727272727273,0.07752753322022198,ok
orientation,0.5,power_primary-618b6dd2e026,power_primary,delta,0,3,0.0021364419652150635,0.038519128515469514,0.02745956916448175,34,34,23,0.6764705882352942,0.08023094083513455,ok
orientation,0.5,power_primary-618b6dd2e026,power_primary,delta,1,3,0.039018520478677154,0.06736830725658877,0.052434804237790185,33,33,24,0.7272727272727273,0.07752753322022198,ok
orientation,0.5,power_primary-618b6dd2e026,power_primary,delta,2,3,0.0673755384655243,0.13471354036833044,0.0913341735686952,33,33,20,0.6060606060606061,0.08505811700208933,ok
orientation,0.5,power_primary-618b6dd2e026,power_primary,shape,0,3,0.0021364419652150635,0.038519128515469514,0.02745956916448175,34,34,31,0.9117647058823529,0.04864330767996384,ok
