baseline_continuity,generator.n_samples,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95
0.5,600,orientation,0.5,delta,1,100,100,52,0.52,0.049959983987187186,100,0.1438774569022121,0.11305734257744676,0.14939064484245468,0.17887031259480685,100,18.679582511052367,12.988963146566261,35.49014614327925
0.5,600,orientation,0.5,angle,1,100,100,39,0.39,0.048774993593028795,100,0.1438774569022121,0.11305734257744676,0.14939064484245468,0.17887031259480685,100,18.679582511052367,12.988963146566261,35.49014614327925
0.5,600,orientation,0.5,shape,1,100,100,83,0.83,0.037563279941985904,100,0.1438774569022121,0.11305734257744676,0.14939064484245468,0.17887031259480685,100,18.679582511052367,12.988963146566261,35.49014614327925
0.5,600,orientation,1.0,delta,1,100,100,44,0.44,0.04963869458396343,100,0.11953759475928964,0.09019065342981963,0.11376354960483742,0.14901328102139588,100,26.175712513750824,42.22580574095912,54.18579689551698
0.5,600,orientation,1.0,angle,1,100,100,46,0.46,0.04983974317750845,100,0.11953759475928964,0.09019065342981963,0.11376354960483742,0.14901328102139588,100,26.175712513750824,42.22580574095912,54.18579689551698
0.5,600,orientation,1.0,shape,1,100,100,87,0.87,0.03363034344160047,100,0.11953759475928964,0.09019065342981963,0.11376354960483742,0.14901328102139588,100,26.175712513750824,42.22580574095912,54.18579689551698
0.5,1200,orientation,0.25,delta,1,100,100,65,0.65,0.047696960070847276,100,0.19515817492268034,0.16511111048883104,0.19591334312465572,0.23147889930177173,100,2.967368370299467,9.588988051916047,7.667959029417258
0.5,1200,orientation,0.25,angle,1,100,100,71,0.71,0.04537620521815371,100,0.19515817492268034,0.16511111048883104,0.19591334312465572,0.23147889930177173,100,2.967368370299467,9.588988051916047,7.667959029417258
0.5,1200,orientation,0.25,shape,1,100,100,89,0.89,0.031288975694324025,100,0.19515817492268034,0.16511111048883104,0.19591334312465572,0.23147889930177173,100,2.967368370299467,9.588988051916047,7.667959029417258
0.5,1200,orientation,0.5,delta,1,100,100,65,0.65,0.047696960070847276,100,0.18254039362285435,0.1540006916281242,0.17796764572748824,0.20707306208705079,100,10.302737860523404,11.129592985147614,13.468961263254595
0.5,1200,orientation,0.5,angle,1,100,100,70,0.7,0.045825756949558406,100,0.18254039362285435,0.1540006916281242,0.17796764572748824,0.20707306208705079,100,10.302737860523404,11.129592985147614,13.468961263254595
0.5,1200,orientation,0.5,shape,1,100,100,92,0.92,0.027129319932501065,100,0.18254039362285435,0.1540006916281242,0.17796764572748824,0.20707306208705079,100,10.302737860523404,11.129592985147614,13.468961263254595
0.5,1200,orientation,1.0,delta,1,100,100,60,0.6,0.04898979485566356,100,0.14254302731921847,0.09387430713197448,0.13263988924834952,0.18761055440391927,100,16.290692529315287,12.133238695080257,29.50901973716416
0.5,1200,orientation,1.0,angle,1,100,100,69,0.69,0.04624932431938871,100,0.14254302731921847,0.09387430713197448,0.13263988924834952,0.18761055440391927,100,16.290692529315287,12.133238695080257,29.50901973716416
0.5,1200,orientation,1.0,shape,1,100,100,97,0.97,0.017058722109231986,100,0.14254302731921847,0.09387430713197448,0.13263988924834952,0.18761055440391927,100,16.290692529315287,12.133238695080257,29.50901973716416
0.8,300,orientation,0.25,delta,1,100,100,16,0.16,0.03666060555964672,100,0.2136367601861577,0.14255284816962105,0.16461207094885064,0.22134616825159775,100,37.115382763508066,120.68226448774868,60.656739074210584
0.8,300,orientation,0.25,angle,1,100,100,7,0.07,0.02551470164434615,100,0.2136367601861577,0.14255284816962105,0.16461207094885064,0.22134616825159775,100,37.115382763508066,120.68226448774868,60.656739074210584
0.8,300,orientation,0.25,shape,1,100,100,26,0.26,0.04386342439892262,100,0.2136367601861577,0.14255284816962105,0.16461207094885064,0.22134616825159775,100,37.115382763508066,120.68226448774868,60.656739074210584
0.8,300,orientation,0.5,delta,1,100,100,21,0.21,0.0407308237088326,100,0.25999174996502217,0.1614186899144835,0.20993052371577955,0.26416709691621565,100,29.541512732481777,100.41738095577723,60.53495524827212
0.8,300,orientation,0.5,angle,1,100,100,27,0.27,0.044395945760846225,100,0.25999174996502217,0.1614186899144835,0.20993052371577955,0.26416709691621565,100,29.541512732481777,100.41738095577723,60.53495524827212
