generator.baseline_continuity,generator.n_samples,phase,is_baseline,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95,n_selected_lv_available,median_selected_lv,min_selected_lv,max_selected_lv
0.0,1200,power_design,False,orientation,1.0,delta,1,100,100,86,0.86,0.03469870314579494,100,0.05425633006241824,0.03800711424513892,0.0486607369334596,0.0626378037982781,100,10.835109874005564,13.04619379017682,48.37035935265008,100,3.0,2,4
0.0,1200,power_design,False,orientation,1.0,angle,1,100,100,88,0.88,0.03249615361854384,100,0.05425633006241824,0.03800711424513892,0.0486607369334596,0.0626378037982781,100,10.835109874005564,13.04619379017682,48.37035935265008,100,3.0,2,4
0.0,1200,power_design,False,orientation,1.0,shape,1,100,100,100,1.0,0.0,100,0.05425633006241824,0.03800711424513892,0.0486607369334596,0.0626378037982781,100,10.835109874005564,13.04619379017682,48.37035935265008,100,3.0,2,4
0.0,1200,power_design,False,translation,0.25,delta,1,100,100,9,0.09,0.02861817604250837,100,0.060343681710968704,0.043000600600822114,0.05381906303919795,0.07670594481194942,100,4.9617140261000845,5.0958720861139835,36.29243789491459,100,3.0,2,3
0.0,1200,power_design,False,translation,0.25,angle,1,100,100,3,0.03,0.01705872210923198,100,0.060343681710968704,0.043000600600822114,0.05381906303919795,0.07670594481194942,100,4.9617140261000845,5.0958720861139835,36.29243789491459,100,3.0,2,3
0.0,1200,power_design,False,translation,0.25,shape,1,100,100,6,0.06,0.023748684174075833,100,0.060343681710968704,0.043000600600822114,0.05381906303919795,0.07670594481194942,100,4.9617140261000845,5.0958720861139835,36.29243789491459,100,3.0,2,3
0.0,1200,power_design,False,translation,0.5,delta,1,100,100,8,0.08,0.027129319932501072,100,0.06031171556227071,0.04293056785920785,0.05520038079194722,0.07811392208347806,100,4.983697205450806,4.318572000564433,37.60552928267522,100,3.0,2,3
0.0,1200,power_design,False,translation,0.5,angle,1,100,100,3,0.03,0.01705872210923198,100,0.06031171556227071,0.04293056785920785,0.05520038079194722,0.07811392208347806,100,4.983697205450806,4.318572000564433,37.60552928267522,100,3.0,2,3
0.0,1200,power_design,False,translation,0.5,shape,1,100,100,3,0.03,0.01705872210923198,100,0.06031171556227071,0.04293056785920785,0.05520038079194722,0.07811392208347806,100,4.983697205450806,4.318572000564433,37.60552928267522,100,3.0,2,3
0.0,1200,power_design,False,translation,1.0,delta,1,100,100,4,0.04,0.019595917942265423,100,0.06096213543358081,0.04482591042848977,0.05445862498725898,0.07966090390300334,100,5.01049987544663,3.7913665543709523,33.96720137765062,100,3.0,2,3
0.0,1200,power_design,False,translation,1.0,angle,1,100,100,4,0.04,0.019595917942265423,100,0.06096213543358081,0.04482591042848977,0.05445862498725898,0.07966090390300334,100,5.01049987544663,3.7913665543709523,33.96720137765062,100,3.0,2,3
0.0,1200,power_design,False,translation,1.0,shape,1,100,100,6,0.06,0.023748684174075833,100,0.06096213543358081,0.04482591042848977,0.05445862498725898,0.07966090390300334,100,5.01049987544663,3.7913665543709523,33.96720137765062,100,3.0,2,3
0.5,300,power_design,False,none,0.0,delta,1,100,100,1,0.01,0.0099498743710662,100,0.1519127476188966,0.1081469103564614,0.16083004500386067,0.18885970720592316,100,23.208151351910423,14.041161232544297,30.790298631510797,100,4.0,3,4
0.5,300,power_design,False,none,0.0,angle,1,100,100,2,0.02,0.014,100,0.1519127476188966,0.1081469103564614,0.16083004500386067,0.18885970720592316,100,23.208151351910423,14.041161232544297,30.790298631510797,100,4.0,3,4
0.5,300,power_design,False,none,0.0,shape,1,100,100,1,0.01,0.0099498743710662,100,0.1519127476188966,0.1081469103564614,0.16083004500386067,0.18885970720592316,100,23.208151351910423,14.041161232544297,30.790298631510797,100,4.0,3,4
