trajectory_mode,effect_size,cell_id,phase,statistic,stratum,n_strata,eigengap_low,eigengap_high,mean_eigengap,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,status
orientation,0.5,power_design-ff0d1ac8d8a2,power_design,shape,2,3,0.06285158790761791,0.13801297815213576,0.08824107137491291,33,33,33,1.0,0.0,ok
orientation,0.5,power_primary-9137126e9f41,power_primary,angle,0,3,0.004296178375375381,0.03234693567336644,0.01981599984736065,34,34,27,0.7941176470588235,0.06934458070529786,ok
orientation,0.5,power_primary-9137126e9f41,power_primary,angle,1,3,0.03245781903635647,0.06177795039519779,0.047889402538515626,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,0.5,power_primary-9137126e9f41,power_primary,angle,2,3,0.06285158790761725,0.13801297815213576,0.08920931427473366,33,33,32,0.9696969696969697,0.029840361449535197,ok
orientation,0.5,power_primary-9137126e9f41,power_primary,delta,0,3,0.004296178375375381,0.03234693567336644,0.01981599984736065,34,34,28,0.8235294117647058,0.06537869767367192,ok
orientation,0.5,power_primary-9137126e9f41,power_primary,delta,1,3,0.03245781903635647,0.06177795039519779,0.047889402538515626,33,33,24,0.7272727272727273,0.07752753322022198,ok
orientation,0.5,power_primary-9137126e9f41,power_primary,delta,2,3,0.06285158790761725,0.13801297815213576,0.08920931427473366,33,33,25,0.7575757575757576,0.07460090362383802,ok
orientation,0.5,power_primary-9137126e9f41,power_primary,shape,0,3,0.004296178375375381,0.03234693567336644,0.01981599984736065,34,34,34,1.0,0.0,ok
orientation,0.5,power_primary-9137126e9f41,power_primary,shape,1,3,0.03245781903635647,0.06177795039519779,0.047889402538515626,33,33,33,1.0,0.0,ok
orientation,0.5,power_primary-9137126e9f41,power_primary,shape,2,3,0.06285158790761725,0.13801297815213576,0.08920931427473366,33,33,33,1.0,0.0,ok
orientation,1.0,power_design-26bc8ff36ec4,power_design,angle,0,3,0.0040253018404993735,0.030715267614569886,0.01958563269880281,34,34,20,0.5882352941176471,0.08440353576228697,ok
orientation,1.0,power_design-26bc8ff36ec4,power_design,angle,1,3,0.03132100656099268,0.05907919355132296,0.04275726409114739,33,33,30,0.9090909090909091,0.05004380750574367,ok
orientation,1.0,power_design-26bc8ff36ec4,power_design,angle,2,3,0.060680805180337694,0.12824708450011968,0.08136076947370972,33,33,31,0.9393939393939394,0.04153602526317222,ok
orientation,1.0,power_design-26bc8ff36ec4,power_design,delta,0,3,0.0040253018404993735,0.030715267614569886,0.01958563269880281,34,34,19,0.5588235294117647,0.08515380416833712,ok
orientation,1.0,power_design-26bc8ff36ec4,power_design,delta,1,3,0.03132100656099268,0.05907919355132296,0.04275726409114739,33,33,17,0.5151515151515151,0.08699885606851798,ok
orientation,1.0,power_design-26bc8ff36ec4,power_design,delta,2,3,0.060680805180337694,0.12824708450011968,0.08136076947370972,33,33,11,0.3333333333333333,0.08206099398622183,ok
