evaluation.integration_params.forced_components,phase,is_baseline,trajectory_mode,effect_size,statistic,n_cells,n_replicates,n_available,n_rejected,rejection_rate,monte_carlo_se,n_eigengap_available,mean_eigengap,q33_eigengap,median_eigengap,q67_eigengap,n_angle_null_available,median_angle_null_q95,iqr_angle_null_q95,sd_angle_null_q95,n_selected_lv_available,median_selected_lv,min_selected_lv,max_selected_lv,component_selection
4.0,power_design,False,orientation,0.5,shape,1,100,100,99,0.99,0.009949874371066205,100,0.05129129403945774,0.03660224073020013,0.04789485786042355,0.05943494349519168,100,12.7008924405066,11.045708385298168,54.262466144618536,100,4.0,4,4,forced
4.0,power_design,False,orientation,1.0,delta,1,100,100,84,0.84,0.036660605559646724,100,0.048297432464022384,0.030789391189541326,0.04034576363542308,0.059859657537181865,100,16.96082688163093,30.20776466838784,57.329226438393505,100,4.0,4,4,forced
4.0,power_design,False,orientation,1.0,angle,1,100,100,79,0.79,0.0407308237088326,100,0.048297432464022384,0.030789391189541326,0.04034576363542308,0.059859657537181865,100,16.96082688163093,30.20776466838784,57.329226438393505,100,4.0,4,4,forced
4.0,power_design,False,orientation,1.0,shape,1,100,100,99,0.99,0.009949874371066205,100,0.048297432464022384,0.030789391189541326,0.04034576363542308,0.059859657537181865,100,16.96082688163093,30.20776466838784,57.329226438393505,100,4.0,4,4,forced
4.0,power_design,False,shape,0.25,delta,1,100,100,74,0.74,0.04386342439892262,100,0.05085371047236245,0.03407365890152325,0.045762300343238055,0.06104535747885281,100,10.60240083270974,4.046444226257371,28.745893037028836,100,4.0,4,4,forced
4.0,power_design,False,shape,0.25,angle,1,100,100,54,0.54,0.04983974317750845,100,0.05085371047236245,0.03407365890152325,0.045762300343238055,0.06104535747885281,100,10.60240083270974,4.046444226257371,28.745893037028836,100,4.0,4,4,forced
4.0,power_design,False,shape,0.25,shape,1,100,100,93,0.93,0.02551470164434614,100,0.05085371047236245,0.03407365890152325,0.045762300343238055,0.06104535747885281,100,10.60240083270974,4.046444226257371,28.745893037028836,100,4.0,4,4,forced
4.0,power_design,False,shape,0.5,delta,1,100,100,78,0.78,0.04142463035441595,100,0.05258699421744459,0.035634515067125616,0.04817241924571902,0.062238204311626855,100,10.196363971158068,6.125450493266191,35.625083566488776,100,4.0,4,4,forced
4.0,power_design,False,shape,0.5,angle,1,100,100,59,0.59,0.04918333050943175,100,0.05258699421744459,0.035634515067125616,0.04817241924571902,0.062238204311626855,100,10.196363971158068,6.125450493266191,35.625083566488776,100,4.0,4,4,forced
4.0,power_design,False,shape,0.5,shape,1,100,100,96,0.96,0.019595917942265433,100,0.05258699421744459,0.035634515067125616,0.04817241924571902,0.062238204311626855,100,10.196363971158068,6.125450493266191,35.625083566488776,100,4.0,4,4,forced
