trajectory_mode,effect_size,checkpoint,measurement_space,scope,is_joint,statistic,median,mean,sd,n_available,anchor_median,excess_over_anchor
magnitude,1.0,population_native,native_omic_units,expression,False,angle,0.0,6.875061965552533e-07,8.501571532403912e-07,500,0.0,0.0
magnitude,0.25,population_native,native_omic_units,methylation,False,angle,0.0,5.852003268377238e-07,7.61621640615984e-07,500,0.0,0.0
magnitude,0.5,population_native,native_omic_units,methylation,False,angle,0.0,0.7200005930349039,11.372786766415658,500,0.0,0.0
magnitude,0.75,population_native,native_omic_units,methylation,False,angle,0.0,6.054953458745827e-07,7.543215022940319e-07,500,0.0,0.0
magnitude,1.0,population_native,native_omic_units,methylation,False,angle,0.0,0.36000064008608146,8.049844636210832,500,0.0,0.0
magnitude,0.25,population_native,native_omic_units,proteomics,False,angle,0.0,7.638420692322208e-07,9.155196299886515e-07,500,0.0,0.0
magnitude,0.5,population_native,native_omic_units,proteomics,False,angle,0.0,7.185190219170285e-07,8.913341914960176e-07,500,0.0,0.0
magnitude,0.75,population_native,native_omic_units,proteomics,False,angle,0.0,7.512238680503533e-07,9.124136362798304e-07,500,0.0,0.0
magnitude,1.0,population_native,native_omic_units,proteomics,False,angle,0.0,7.382726228929149e-07,9.149974494399917e-07,500,0.0,0.0
magnitude,0.25,population_standardized,standardized_feature,expression,False,angle,0.0,6.914161055856496e-07,8.40046829886472e-07,500,0.0,0.0
magnitude,0.5,population_standardized,standardized_feature,expression,False,angle,0.0,6.649943507046935e-07,8.309403870102457e-07,500,0.0,0.0
magnitude,0.75,population_standardized,standardized_feature,expression,False,angle,0.0,6.54822837232629e-07,8.337557707873544e-07,500,0.0,0.0
magnitude,1.0,population_standardized,standardized_feature,expression,False,angle,0.0,7.150450008489493e-07,8.523073571336781e-07,500,0.0,0.0
magnitude,0.25,population_standardized,standardized_feature,methylation,False,angle,0.0,5.798392234339721e-07,7.522466428216631e-07,500,0.0,0.0
magnitude,0.5,population_standardized,standardized_feature,methylation,False,angle,0.0,5.922646129444427e-07,7.265738034322863e-07,500,0.0,0.0
magnitude,0.75,population_standardized,standardized_feature,methylation,False,angle,0.0,5.718542216207467e-07,7.437593755420055e-07,500,0.0,0.0
magnitude,1.0,population_standardized,standardized_feature,methylation,False,angle,0.0,6.284974164106976e-07,7.76771019410759e-07,500,0.0,0.0
magnitude,0.25,population_standardized,standardized_feature,proteomics,False,angle,0.0,7.135005170358304e-07,8.518902846898741e-07,500,0.0,0.0
magnitude,0.5,population_standardized,standardized_feature,proteomics,False,angle,0.0,7.110199511861351e-07,8.358118006783851e-07,500,0.0,0.0
magnitude,0.75,population_standardized,standardized_feature,proteomics,False,angle,0.0,7.119609795583421e-07,8.332574970251164e-07,500,0.0,0.0
magnitude,1.0,population_standardized,standardized_feature,proteomics,False,angle,0.0,6.805203587642258e-07,8.315294922320515e-07,500,0.0,0.0
magnitude,0.25,population_standardized,standardized_feature,joint,True,angle,6.697795851647357,11.555373564967192,25.39434012940872,500,0.0,6.697795851647357
magnitude,0.5,population_standardized,standardized_feature,joint,True,angle,12.119946848250226,19.87107691137385,30.354032736561276,500,0.0,12.119946848250226
magnitude,0.75,population_standardized,standardized_feature,joint,True,angle,16.589013507810918,26.716864948165725,33.38062906752904,500,0.0,16.589013507810918
magnitude,1.0,population_standardized,standardized_feature,joint,True,angle,20.329313411733686,31.616961165791825,34.04722392333798,500,0.0,20.329313411733686
magnitude,0.25,observed_standardized,standardized_feature,expression,False,delta,0.13271284764242353,0.15256746372147362,0.11570534025610138,500,0.12985574767624541,0.0028570999661781116
magnitude,0.5,observed_standardized,standardized_feature,expression,False,delta,0.13271284764242353,0.15256746372147373,0.11570534025610141,500,0.12985574767624541,0.0028570999661781116
magnitude,0.75,observed_standardized,standardized_feature,expression,False,delta,0.13271284764242353,0.15256746372147356,0.11570534025610141,500,0.12985574767624541,0.0028570999661781116
magnitude,1.0,observed_standardized,standardized_feature,expression,False,delta,0.13271284764242353,0.15256746372147367,0.11570534025610144,500,0.12985574767624541,0.0028570999661781116
magnitude,0.25,observed_standardized,standardized_feature,methylation,False,delta,9.850906560120428,9.846056314334188,0.49661478354018324,500,0.1790950679082357,9.671811492212193
magnitude,0.5,observed_standardized,standardized_feature,methylation,False,delta,17.99501857654202,17.98687364595797,0.789105403099052,500,0.1790950679082357,17.815923508633784
magnitude,0.75,observed_standardized,standardized_feature,methylation,False,delta,24.63058580372769,24.64577671774631,1.044248023258731,500,0.1790950679082357,24.451490735819455
magnitude,1.0,observed_standardized,standardized_feature,methylation,False,delta,30.06706240106051,30.083192984655643,1.2568055021422688,500,0.1790950679082357,29.887967333152275
magnitude,0.25,observed_standardized,standardized_feature,proteomics,False,delta,0.1031264780432366,0.12068259472195529,0.09069701477612614,500,0.1116933393253774,-0.008566861282140792
magnitude,0.5,observed_standardized,standardized_feature,proteomics,False,delta,0.10312647804323305,0.12068259472195553,0.09069701477612592,500,0.1116933393253774,-0.008566861282144345
magnitude,0.75,observed_standardized,standardized_feature,proteomics,False,delta,0.1031264780432366,0.1206825947219556,0.09069701477612599,500,0.1116933393253774,-0.008566861282140792
